                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3626,                 1.6868,                0.80147,                0.90962,                0.84157,                0.85343,                0.90298,                0.56459,                0.75923,                 0.7313,                0.77138,                0.35204,                 1.1973,                 1.3997,                0.69828,                0.88515,              0.0017317,              0.0017317,              0.0017317
                     74,                 1.3716,                 1.6603,                0.80967,                0.91322,                0.83239,                0.86427,                0.90315,                0.56096,                0.73619,                0.71119,                0.73796,                0.32193,                 1.2077,                 1.4612,                0.68509,                0.88665,              0.0017245,              0.0017245,              0.0017245
                     75,                 1.4685,                 1.8958,                0.85678,                 0.9272,                0.83698,                0.88366,                0.91132,                0.56328,                0.75063,                0.70637,                0.75805,                0.34897,                 1.2166,                 1.4424,                0.68159,                0.88952,              0.0017173,              0.0017173,              0.0017173
                     76,                 1.3961,                 1.7565,                0.80964,                0.90834,                0.83516,                0.87015,                 0.9074,                0.58139,                0.78323,                0.73407,                0.79298,                0.38688,                 1.1422,                 1.3535,                0.66467,                0.88251,                0.00171,                0.00171,                0.00171
                     77,                 1.3431,                 1.6719,                 0.7784,                0.91691,                0.80577,                0.89197,                0.90151,                0.58345,                0.77983,                0.70643,                0.77818,                0.37354,                 1.1257,                 1.3819,                0.66864,                0.87844,              0.0017027,              0.0017027,              0.0017027
                     78,                 1.3864,                 1.7948,                0.80085,                0.91511,                0.80577,                0.89197,                0.90151,                0.58345,                0.77983,                0.70643,                0.77818,                0.37354,                 1.1257,                 1.3819,                0.66864,                0.87844,              0.0016952,              0.0016952,              0.0016952
                     79,                 1.3159,                 1.5642,                0.77815,                0.89531,                0.82475,                0.87812,                0.90231,                0.56056,                0.77838,                0.74915,                0.79061,                0.36763,                 1.2522,                 1.4512,                 0.6993,                0.89123,              0.0016877,              0.0016877,              0.0016877
                     80,                 1.3285,                 1.6747,                0.78181,                0.91297,                0.80846,                0.89751,                0.90436,                0.56612,                0.78777,                0.75059,                0.79394,                0.38177,                 1.2189,                  1.439,                0.69084,                0.88892,              0.0016801,              0.0016801,              0.0016801
                     81,                 1.3865,                 1.7511,                0.79495,                0.90904,                0.80132,                0.89197,                0.90418,                0.56235,                0.78591,                0.71191,                 0.7792,                0.36381,                 1.2003,                 1.4463,                0.67912,                0.88829,              0.0016724,              0.0016724,              0.0016724
                     82,                 1.3808,                 1.6893,                0.79291,                0.90441,                0.81692,                0.87761,                0.90115,                0.56468,                0.81076,                 0.7036,                0.77738,                0.36799,                 1.2218,                 1.3784,                0.67965,                0.89349,              0.0016647,              0.0016647,              0.0016647
                     83,                 1.4057,                 1.6976,                0.80458,                0.89602,                 0.8337,                 0.8749,                0.90194,                0.56881,                0.80065,                0.70914,                0.77142,                0.37717,                 1.1758,                 1.3785,                 0.6634,                0.88973,              0.0016569,              0.0016569,              0.0016569
                     84,                 1.3632,                 1.8264,                0.80829,                0.93849,                0.84227,                0.85793,                0.90532,                0.53785,                0.80207,                0.72022,                0.79956,                0.36822,                 1.2757,                 1.4556,                0.68055,                0.89602,               0.001649,               0.001649,               0.001649
                     85,                 1.3456,                 1.6707,                0.76191,                0.89885,                  0.812,                0.87338,                0.89729,                0.54867,                0.78618,                0.72312,                0.79209,                0.36977,                 1.2526,                 1.4462,                0.69035,                0.89283,               0.001641,               0.001641,               0.001641
                     86,                 1.3987,                 1.7385,                0.80946,                 0.9047,                  0.812,                0.87338,                0.89729,                0.54867,                0.78618,                0.72312,                0.79209,                0.36977,                 1.2526,                 1.4462,                0.69035,                0.89283,               0.001633,               0.001633,               0.001633
                     87,                 1.3471,                  1.722,                0.77767,                0.91697,                 0.7949,                0.89197,                0.89711,                0.56869,                0.83575,                0.68975,                0.78976,                0.36705,                 1.1726,                 1.3578,                0.67374,                0.88501,              0.0016249,              0.0016249,              0.0016249
                     88,                 1.3352,                 1.6773,                 0.7855,                0.90523,                0.81094,                0.89113,                0.90444,                0.58218,                0.80472,                0.70083,                0.77404,                0.36478,                 1.1488,                 1.3405,                0.65394,                0.88432,              0.0016168,              0.0016168,              0.0016168
                     89,                 1.3778,                 1.7463,                0.77589,                0.90792,                0.82912,                0.88705,                0.91025,                0.56261,                0.74329,                0.75393,                0.78989,                0.37672,                 1.2019,                 1.4067,                0.65648,                0.89604,              0.0016086,              0.0016086,              0.0016086
                     90,                 1.3671,                 1.7296,                0.79174,                0.91752,                0.84178,                0.87535,                0.90582,                0.56372,                0.76344,                0.71468,                0.76425,                0.34935,                 1.1918,                  1.459,                0.65978,                0.89027,              0.0016003,              0.0016003,              0.0016003
                     91,                 1.3704,                 1.7387,                0.81136,                 0.9126,                0.83305,                0.88459,                0.90875,                 0.5728,                0.76218,                  0.759,                0.77486,                 0.3493,                 1.1692,                  1.372,                0.66051,                0.88555,              0.0015919,              0.0015919,              0.0015919
                     92,                 1.3305,                 1.6665,                 0.7727,                0.90616,                0.83704,                0.88366,                0.90791,                0.58338,                0.77299,                0.75623,                0.79231,                0.37825,                 1.1363,                  1.316,                0.64271,                0.88112,              0.0015835,              0.0015835,              0.0015835
                     93,                 1.3467,                 1.7596,                0.75891,                0.89321,                0.81861,                0.88366,                0.90389,                0.56052,                0.73431,                0.71191,                 0.7444,                0.33751,                 1.2249,                 1.4457,                0.66964,                0.89191,               0.001575,               0.001575,               0.001575
                     94,                 1.4397,                 1.7703,                0.78368,                0.90357,                0.81861,                0.88366,                0.90389,                0.56052,                0.73431,                0.71191,                 0.7444,                0.33751,                 1.2249,                 1.4457,                0.66964,                0.89191,              0.0015665,              0.0015665,              0.0015665
                     95,                 1.3101,                 1.6827,                 0.7406,                0.90717,                0.82275,                 0.8615,                 0.8982,                0.55707,                0.77163,                0.68698,                0.74987,                0.33378,                 1.2337,                 1.4656,                0.67631,                0.89311,              0.0015579,              0.0015579,              0.0015579
                     96,                 1.3976,                 1.8134,                0.78274,                0.91073,                0.83263,                0.87258,                0.90496,                0.58023,                0.76321,                0.73961,                0.78243,                0.37131,                  1.153,                  1.389,                 0.6537,                0.87836,              0.0015492,              0.0015492,              0.0015492
                     97,                  1.338,                 1.6802,                0.77923,                0.91379,                0.84189,                0.88366,                0.91253,                0.57217,                0.77945,                  0.759,                0.77961,                0.37921,                 1.1748,                 1.3783,                0.65609,                0.88022,              0.0015405,              0.0015405,              0.0015405
                     98,                 1.3642,                 1.6833,                0.76003,                0.90173,                0.84158,                0.88297,                0.91165,                0.57867,                0.76342,                0.75346,                0.78528,                0.37332,                 1.1443,                 1.3787,                0.65497,                0.88092,              0.0015317,              0.0015317,              0.0015317
                     99,                 1.3662,                 1.7894,                0.78146,                0.91627,                0.83579,                0.87258,                0.90504,                0.56949,                0.82363,                0.67036,                0.77961,                0.33974,                 1.2127,                 1.3848,                0.66164,                0.88589,              0.0015228,              0.0015228,              0.0015228
                    100,                 1.3429,                 1.6213,                0.75912,                0.90197,                0.84464,                0.87258,                0.90852,                0.58204,                0.76922,                0.68975,                0.76516,                0.34671,                 1.1525,                 1.3672,                0.65561,                0.88056,               0.001514,               0.001514,               0.001514
                    101,                 1.3554,                 1.7871,                0.78082,                0.91311,                0.82445,                0.89751,                0.90557,                0.57101,                0.75928,                 0.7427,                 0.7986,                0.38697,                 1.1739,                 1.3585,                0.66695,                0.87929,               0.001505,               0.001505,               0.001505
                    102,                 1.3012,                 1.5506,                0.75968,                0.88707,                0.82445,                0.89751,                0.90557,                0.57101,                0.75928,                 0.7427,                 0.7986,                0.38697,                 1.1739,                 1.3585,                0.66695,                0.87929,               0.001496,               0.001496,               0.001496
                    103,                 1.3101,                 1.5945,                0.74701,                 0.8839,                0.82427,                 0.9169,                0.91055,                  0.572,                0.76696,                0.73684,                0.78999,                0.39581,                 1.1878,                  1.377,                0.67614,                 0.8803,              0.0014869,              0.0014869,              0.0014869
                    104,                 1.3416,                  1.692,                0.75939,                0.90103,                0.83277,                0.90582,                0.91465,                 0.5797,                0.78002,                 0.7036,                0.78301,                0.37017,                 1.1776,                 1.3854,                0.66748,                0.87941,              0.0014778,              0.0014778,              0.0014778
