                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.3288,                 1.5525,                0.64049,                0.86194,                0.88019,                 0.8959,                0.92699,                0.56848,                 0.7875,                0.78768,                0.82324,                0.39827,                 1.2131,                 1.3625,                0.60201,                0.85719,              0.0016832,              0.0016832,              0.0016832
                     50,                  1.277,                 1.5066,                0.62817,                0.86614,                0.85286,                0.88866,                0.92738,                0.54858,                0.75823,                0.73693,                0.77247,                0.30508,                  1.251,                 1.4503,                0.61016,                0.86275,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.2822,                 1.4968,                0.62174,                0.85691,                0.87442,                0.87805,                  0.931,                0.58022,                0.78682,                0.73946,                0.77839,                 0.3452,                 1.1522,                 1.3685,                0.59927,                0.84983,                0.00167,                0.00167,                0.00167
                     52,                 1.2554,                 1.5135,                0.60882,                0.85473,                0.87774,                0.89024,                0.93629,                0.57183,                0.82339,                0.72288,                0.79824,                0.33929,                 1.1998,                 1.4668,                0.59812,                0.85857,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.2333,                 1.5039,                0.60312,                0.85719,                 0.8687,                0.85714,                0.91711,                0.54579,                0.75384,                0.67422,                  0.722,                0.28234,                 1.2468,                 1.4424,                0.60388,                0.86159,              0.0016568,              0.0016568,              0.0016568
                     54,                   1.26,                 1.5421,                0.61213,                0.85821,                0.90207,                0.86934,                0.92982,                0.57639,                0.79477,                0.75784,                0.78109,                0.34229,                 1.1652,                 1.3837,                0.58928,                0.85425,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.2748,                 1.5131,                0.60772,                0.85023,                0.85537,                0.83624,                0.91858,                 0.5369,                0.69826,                0.66202,                0.69855,                0.26091,                 1.2969,                 1.6744,                0.61967,                 0.8679,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.2568,                 1.5408,                0.60962,                0.86056,                0.86198,                0.86934,                0.92474,                0.55772,                0.74578,                0.70383,                 0.7636,                0.30351,                  1.239,                 1.5325,                0.60155,                0.86289,               0.001637,               0.001637,               0.001637
                     57,                 1.2483,                  1.551,                0.60205,                0.85859,                  0.875,                0.89895,                0.93819,                0.58463,                 0.7706,                 0.7439,                0.77946,                0.33158,                 1.1563,                  1.379,                0.57996,                  0.853,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.2405,                 1.4863,                0.60004,                 0.8547,                0.86118,                0.90767,                0.93509,                0.56347,                0.72133,                0.72648,                0.73729,                0.27953,                 1.2096,                 1.4615,                0.59763,                0.85812,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.2058,                 1.4516,                0.59092,                0.85377,                0.89111,                0.88676,                0.94232,                 0.5923,                0.75381,                 0.7561,                0.77489,                0.33474,                  1.145,                  1.448,                0.57054,                0.85098,              0.0016172,              0.0016172,              0.0016172
                     60,                  1.214,                 1.4606,                  0.591,                0.85367,                0.88635,                0.89373,                0.93678,                0.59495,                0.76666,                0.75556,                0.78599,                0.34548,                 1.1436,                   1.38,                0.57425,                0.85033,              0.0016106,              0.0016106,              0.0016106
                     61,                  1.212,                 1.4774,                0.59078,                0.85531,                 0.8749,                0.90162,                0.93556,                0.58005,                0.75145,                0.76829,                0.78788,                0.33303,                   1.19,                 1.4215,                0.60474,                0.85264,               0.001604,               0.001604,               0.001604
                     62,                 1.1994,                 1.4714,                0.58918,                0.85265,                0.87757,                0.86934,                 0.9281,                0.57492,                0.77309,                0.70906,                0.75453,                0.31172,                 1.1857,                  1.444,                0.58139,                0.85625,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.2434,                 1.4651,                0.59493,                0.84631,                0.87339,                0.85326,                0.92264,                0.55926,                0.75175,                0.69512,                0.74735,                0.31203,                 1.2244,                 1.5064,                0.58702,                0.86448,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.2148,                 1.4754,                0.58589,                0.85228,                0.88613,                 0.8677,                0.93073,                0.57062,                0.76946,                0.71429,                0.75705,                0.31596,                 1.2013,                 1.3933,                0.59494,                0.86007,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.2279,                 1.5052,                0.59126,                0.85428,                0.89743,                0.86884,                0.92951,                 0.5696,                0.75279,                0.72648,                0.77171,                0.32327,                 1.2261,                 1.4567,                 0.5882,                0.86357,              0.0015776,              0.0015776,              0.0015776
