                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.8101,                  1.827,                 1.0536,                0.92411,                0.65375,                0.79881,                0.74756,                0.37729,                0.60031,                0.57692,                0.56798,                0.25817,                 1.6208,                 1.8207,                0.91549,                0.89025,              0.0018288,              0.0018288,              0.0018288
                     59,                 1.9296,                 1.9982,                 1.0722,                0.92899,                0.65375,                0.79881,                0.74756,                0.37729,                0.60031,                0.57692,                0.56798,                0.25817,                 1.6208,                 1.8207,                0.91549,                0.89025,              0.0018229,              0.0018229,              0.0018229
                     60,                  2.031,                 2.2193,                 1.3727,                0.93287,                0.65375,                0.79881,                0.74756,                0.37729,                0.60031,                0.57692,                0.56798,                0.25817,                 1.6208,                 1.8207,                0.91549,                0.89025,               0.001817,               0.001817,               0.001817
                     61,                 2.2648,                  2.592,                 1.1963,                0.94667,                0.65375,                0.79881,                0.74756,                0.37729,                0.60031,                0.57692,                0.56798,                0.25817,                 1.6208,                 1.8207,                0.91549,                0.89025,              0.0018109,              0.0018109,              0.0018109
                     62,                 1.8942,                 1.9709,                 1.0768,                0.93038,                0.66385,                0.76923,                0.72874,                0.35335,                0.63092,                0.62462,                0.61397,                0.25112,                 1.6939,                 1.7965,                0.93191,                0.90439,              0.0018048,              0.0018048,              0.0018048
                     63,                 2.0485,                 2.3065,                  1.157,                0.96207,                0.66385,                0.76923,                0.72874,                0.35335,                0.63092,                0.62462,                0.61397,                0.25112,                 1.6939,                 1.7965,                0.93191,                0.90439,              0.0017986,              0.0017986,              0.0017986
                     64,                 1.9811,                 2.1066,                 1.0581,                0.92928,                0.66385,                0.76923,                0.72874,                0.35335,                0.63092,                0.62462,                0.61397,                0.25112,                 1.6939,                 1.7965,                0.93191,                0.90439,              0.0017923,              0.0017923,              0.0017923
                     65,                 2.0242,                 2.1527,                 1.1178,                0.93318,                0.66385,                0.76923,                0.72874,                0.35335,                0.63092,                0.62462,                0.61397,                0.25112,                 1.6939,                 1.7965,                0.93191,                0.90439,              0.0017859,              0.0017859,              0.0017859
                     66,                 1.8121,                 1.9283,                 1.0175,                0.91304,                0.74151,                0.77233,                0.73963,                  0.382,                0.68061,                0.69872,                0.64875,                0.29357,                 1.5457,                 1.6935,                0.88908,                0.89478,              0.0017794,              0.0017794,              0.0017794
                     67,                 1.7217,                 1.9159,                 1.0508,                0.92275,                0.74151,                0.77233,                0.73963,                  0.382,                0.68061,                0.69872,                0.64875,                0.29357,                 1.5457,                 1.6935,                0.88908,                0.89478,              0.0017728,              0.0017728,              0.0017728
                     68,                 1.6613,                 1.9894,                 1.0427,                0.94247,                0.74151,                0.77233,                0.73963,                  0.382,                0.68061,                0.69872,                0.64875,                0.29357,                 1.5457,                 1.6935,                0.88908,                0.89478,              0.0017662,              0.0017662,              0.0017662
                     69,                  1.719,                 1.9197,                 1.0582,                0.92222,                0.74151,                0.77233,                0.73963,                  0.382,                0.68061,                0.69872,                0.64875,                0.29357,                 1.5457,                 1.6935,                0.88908,                0.89478,              0.0017594,              0.0017594,              0.0017594
                     70,                 1.6908,                 2.0279,                 1.0746,                 0.9407,                0.77656,                 0.7352,                0.75031,                 0.3962,                0.70209,                0.64962,                0.65859,                 0.2916,                 1.5427,                 1.8353,                0.85443,                0.88519,              0.0017526,              0.0017526,              0.0017526
                     71,                  1.609,                  1.753,                0.98079,                0.90426,                0.77656,                 0.7352,                0.75031,                 0.3962,                0.70209,                0.64962,                0.65859,                 0.2916,                 1.5427,                 1.8353,                0.85443,                0.88519,              0.0017457,              0.0017457,              0.0017457
