                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                  1.204,                 1.4728,                0.62912,                0.85472,                0.82686,                0.85256,                0.91524,                0.55559,                0.81597,                0.64744,                0.77336,                0.33948,                 1.2606,                 1.4552,                0.65754,                0.89348,              0.0014852,              0.0014852,              0.0014852
                     80,                  1.196,                 1.4333,                0.61627,                0.84832,                0.83846,                0.86538,                0.91507,                0.58463,                0.83362,                0.71154,                0.82234,                0.39111,                 1.1652,                 1.4614,                0.61734,                 0.8857,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.1937,                 1.4224,                0.61657,                0.85094,                0.79056,                 0.8711,                0.90212,                0.57416,                0.78866,                0.71154,                0.78861,                0.34844,                 1.1816,                  1.574,                0.62052,                0.88655,               0.001472,               0.001472,               0.001472
                     82,                 1.2319,                 1.4466,                0.62914,                 0.8509,                0.85507,                0.83333,                0.89903,                0.55627,                0.76292,                0.74262,                0.79933,                0.35325,                 1.2054,                 1.5642,                0.62891,                0.88491,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.2255,                 1.5204,                0.64084,                0.85697,                0.77956,                0.91026,                0.90056,                0.58295,                0.80726,                0.76282,                0.83097,                0.37453,                 1.1709,                 1.4056,                0.60461,                 0.8914,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.2203,                 1.4251,                0.61502,                0.84203,                0.84544,                0.80128,                0.90039,                0.53841,                0.86616,                0.67949,                0.78021,                0.31385,                 1.3487,                 1.5746,                 0.6396,                0.91991,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.2206,                 1.4249,                0.61809,                0.85179,                0.90048,                0.80128,                0.91653,                0.56489,                0.81792,                 0.6911,                0.78796,                0.34389,                 1.2416,                 1.4714,                0.63668,                0.91113,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.2184,                 1.4518,                0.62792,                0.85127,                0.80482,                0.89744,                0.90793,                0.60691,                0.82434,                0.75208,                0.85332,                0.41136,                 1.1405,                  1.269,                0.61866,                0.89686,               0.001439,               0.001439,               0.001439
                     87,                 1.2273,                 1.4732,                0.62132,                0.85044,                0.78673,                0.92224,                0.91453,                  0.614,                0.81859,                0.78102,                0.86419,                0.40615,                 1.1379,                 1.2751,                 0.6037,                0.88658,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.2219,                 1.5151,                0.62197,                0.84563,                0.77406,                0.89103,                0.90966,                 0.5521,                0.80746,                0.69897,                0.80499,                0.33029,                 1.2838,                 1.5309,                0.64202,                0.89258,              0.0014258,              0.0014258,              0.0014258
